ZONA,ARGOTE,BARRIOS,LASERNA,BASTIDAS,REDONDO,CASTRO
ANTONIO NARINO,228,109,53,183,107,150
BARRIOS UNIDOS,122,378,255,368,179,296
BOSA,746,236,85,223,369,862
CANDELARIA,70,36,36,66,674,81
CENTROS PENITENCIARIOS,2,0,0,26,1,1
CHAPINERO,82,240,1962,574,113,127
CIUDAD BOLIVAR,815,236,71,230,454,942
CORFERIAS,114,177,167,221,154,259
ENGATIVA,673,1150,545,1177,1046,1038
FONTIBON,1078,389,258,546,306,394
KENNEDY,1375,891,296,785,1109,1414
MARTIRES,424,108,60,188,94,152
PUENTE ARANDA,279,339,120,531,622,399
RAFAEL URIBE URIB,365,238,75,243,360,475
SAN CRISTOBAL,1290,381,74,190,235,655
SANTA FE,136,92,70,125,132,473
SUBA,979,1845,1537,1657,1371,952
SUMAPAZ,3,1,0,2,1,4
TEUSAQUILLO,228,298,355,534,364,277
TUNJUELITO,238,165,36,166,215,358
USAQUEN,320,1016,2401,1249,467,265
USME,387,189,47,119,300,356